Date,Close,High,Low,Open,Volume,MA20,MA50,RSI14,MACD,MACD_signal,MACD_diff,Bollinger_High,Bollinger_Low,ATR
2022-10-18,141.6767120361328,144.58416155365336,138.58200045824861,143.39162165141138,99136600,142.69579696655273,153.22728088378906,45.28410179217043,-3.915227564636808,-4.3863925288721175,0.4711649642353093,152.6611159306378,132.73047800246766,4.793797230911915
2022-10-19,141.78514099121094,142.8594165632396,139.4591781255194,139.6464402055219,61758300,142.20990829467775,152.81215576171874,45.45775959683323,-3.538940686635044,-4.216902160424703,0.6779614737896589,151.32122137857309,133.0985952107824,4.694257317112506
2022-10-20,141.32191467285156,143.78585768272674,140.59258212799125,140.95725591977873,64522000,141.74915161132813,152.3026123046875,44.803536746979454,-3.2407517485069377,-4.02167207804115,0.7809203295342124,150.0229834621622,133.47531976049407,4.587044334085577
2022-10-21,145.1459503173828,145.71758686598037,140.59257368233722,140.80940185727815,86548600,141.59343185424805,151.88433349609375,51.0646782401317,-2.665145016238739,-3.750366665680668,1.085221649441929,149.47935717410974,133.70750653438637,4.625470680482546
2022-10-24,147.29449462890625,148.06324356402658,143.89425664068742,145.06709579621315,75981900,141.52838439941405,151.43786712646485,54.207662099694026,-2.0124052095112006,-3.402774374446775,1.3903691649355743,149.2007818583418,133.8559869404863,4.592864697829447
2022-10-25,150.142822265625,150.2906678641537,147.20580651383366,147.92527363612152,74732300,141.55696563720704,151.0268814086914,58.05394428995945,-1.2508489658751785,-2.972389292732456,1.7215403268572773,149.3522690067815,133.76166226763257,4.485150173007346
2022-10-26,147.19593811035156,149.79786091510002,145.90481954516318,148.78271775892205,88194300,141.53281860351564,150.56011199951172,53.085901503800415,-0.875012480075327,-2.55291393020103,1.6779014501257032,149.25476526880126,133.81087193823,4.467496783539809
2022-10-27,142.71156311035156,146.90026566861184,142.05122827640076,145.9344043483702,109180200,141.64714584350585,149.97369354248048,46.55670981671008,-0.9283099629378171,-2.2279931367483874,1.2996831738105703,149.36780778759845,133.92648389941326,4.515869144283451
2022-10-28,153.49380493164062,155.22841546191245,145.68803498734457,146.06254411260886,164762400,142.5114990234375,149.61080444335937,59.465755401608355,-0.09936636447440605,-1.802267782293591,1.702901417819185,151.3867038796003,133.63629416727468,5.087367944803268
2022-10-31,151.12840270996094,152.01543120421692,149.7288849047636,150.9510060343384,97943200,143.04814529418945,149.25244842529298,56.25545128215982,0.3625301962900096,-1.369308186576871,1.7318383828668806,152.61747132043928,133.47881926793963,4.992907379237109
2022-11-01,148.47720336914062,153.20797707085114,146.9791368105924,152.8433183089133,80379300,143.27236404418946,148.9189288330078,52.813934999899075,0.5087918825637132,-0.9936881727487542,1.5024800553124673,153.12565555003027,133.41907253834864,5.081188299310083
2022-11-02,142.93826293945312,149.97528368505897,142.90869682596562,146.80172383520585,93604600,143.20485458374023,148.4813330078125,46.42399576479347,0.1757333759078108,-0.7598038630174413,0.9355372389252521,153.0478704372575,133.36183873022296,5.2230024821517445
2022-11-03,136.87696838378906,140.7404292605941,136.74883853349507,140.01109670781145,97918500,142.8820785522461,147.9165982055664,40.63069785551231,-0.5707346309087313,-0.7219900165956994,0.15125538568696806,153.10330129069231,132.66085581379988,5.29203261956648
2022-11-04,136.6103973388672,140.84553006556408,132.66154945569053,140.27294531486436,140814800,142.80912322998046,147.2972525024414,40.39196587396749,-1.170335065691404,-0.8116590264148403,-0.35867603927656366,153.18634473776115,132.43190172219977,5.498600333159842
2022-11-07,137.1435089111328,137.37056348588825,133.93506945075268,135.35665734492238,83374600,142.7465621948242,146.81492034912108,41.136851558209585,-1.5842429154892272,-0.9661758042297178,-0.6180671112595094,153.24387297483577,132.24925141481265,5.35123559758668
2022-11-08,137.71607971191406,139.62139172038218,135.73178893253106,138.61444628445304,89908500,142.7835906982422,146.38819274902343,41.97552295959793,-1.8448004784823127,-1.141900739080237,-0.7028997394020757,153.2041564441197,132.3630249523647,5.246833254034139
2022-11-09,133.14529418945312,136.77824263467366,132.8688760001459,136.72887901579847,74917800,142.62361907958984,145.91873718261718,37.39506437052506,-2.392538719331526,-1.3920283351304947,-1.0005103842010312,153.5219393371165,131.7252988220632,5.218288286729427
2022-11-10,144.99183654785156,144.99183654785156,137.7160881791185,139.43384265889435,118854000,142.82682723999022,145.7195251464844,52.011345066520015,-1.8493896461721135,-1.4835005973388187,-0.36588904883329487,153.74262563565355,131.9110288443269,5.691735006134357
2022-11-11,147.78564453125,148.09167786414133,142.5238023668343,143.955271925704,93979700,143.39690017700195,145.5616027832031,54.697552770655264,-1.1799019617314173,-1.4227808702173386,0.2428789084859213,154.09602023513403,132.69778011886987,5.682887898360976
2022-11-14,146.38380432128906,148.35822845841318,145.544668037547,147.0649830587826,73374100,143.69828720092772,145.41802307128907,53.09166927132247,-0.7537561064915224,-1.2889759174721753,0.535219810980653,154.3773702896896,133.01920411216585,5.477935935682775
2022-11-15,148.12130737304688,151.6259135896167,146.66023757913166,150.2734377369584,89868300,144.02051696777343,145.33442443847656,54.86061113918905,-0.27268710345401814,-1.085718154668544,0.8130310512145258,154.8243475748001,133.21668636074676,5.461091173728836
2022-11-16,146.8872833251953,147.9534742124063,145.4064651591236,147.22294689122086,64218300,144.27562408447267,145.19795776367187,53.32260636999463,0.008885691159292719,-0.8667973855029767,0.8756830766622694,155.0972101946348,133.45403797431052,5.264930533742725
2022-11-17,148.79263305664062,149.5429089514445,144.28106579714384,144.55748402489598,80389400,144.6491600036621,145.1291653442383,55.40159507876487,0.3813836063572751,-0.6171611871309264,0.9985447934882015,155.5525724860561,133.7457475212681,5.264710006639722
2022-11-18,149.3553009033203,150.74727347635653,148.05218886107582,150.36226138845927,74829600,144.859627532959,145.0142660522461,56.02449524157767,0.7137656347363475,-0.35097582275747163,1.064741457493819,155.9541040752749,133.7651509906431,5.081165335828364
2022-11-21,146.11724853515625,148.44706955079,145.83096367172806,148.23976345815655,58724100,144.80076522827147,144.71515411376953,51.56136105691691,0.7077386517070465,-0.139232927864568,0.8469715795716145,155.85536414575344,133.7461663107895,4.969963328382927
2022-11-22,148.25949096679688,148.49642726977405,145.05105196598853,146.23571841721474,51804100,144.70659866333008,144.64792022705078,54.16300331585802,0.8658423928638683,0.06178213628111927,0.804060256582749,155.60860443875424,133.80459288790593,4.861064183768826
2022-11-23,149.13812255859375,149.88839824806996,147.43023497007337,147.53882889151882,58301400,144.8037078857422,144.56928314208983,55.225217299129696,1.0499359649920166,0.25941290202329875,0.7905230629687179,155.8266080374006,133.7808077340838,4.689428404785095
2022-11-25,146.21597290039062,146.97613037369675,145.23862757756845,146.41341229167975,35195900,144.97892837524415,144.49015472412108,50.99283093438281,0.9490977827857421,0.3973498781757875,0.5517479046099546,155.97460950083828,133.98324724965002,4.633004588802252
2022-11-28,142.37571716308594,144.76476841756258,141.54646269068775,143.28395040385445,69246000,144.42302398681642,144.3671401977539,46.00309772433701,0.5529323928073495,0.42846638110209995,0.12446601170524957,154.74405115606373,134.1019968175691,4.635612133152297
