Open,High,Low,Close,Volume,MA20_scaled,MA50_scaled,RSI14_scaled,MACD_scaled,MACD_signal_scaled,MACD_diff_scaled,Bollinger_High_scaled,Bollinger_Low_scaled,ATR_scaled,date,tic
143.39162165141138,144.58416155365336,138.58200045824861,141.6767120361328,99136600,-1.5468215433899197,-1.173340383845068,-0.6564702752408809,-1.4335071209689092,-1.6788405261349635,0.42028861481316865,-1.4652783249564487,-1.5984967452019698,0.3879162579244596,2022-10-18,AAPL
139.6464402055219,142.8594165632396,139.4591781255194,141.78514099121094,61758300,-1.5627538582740972,-1.1870766929457715,-0.6423135902537429,-1.3141379077350956,-1.621442072259358,0.6184661872706945,-1.5065966454662827,-1.5859314479472388,0.32041259825157903,2022-10-19,AAPL
140.95725591977873,143.78585768272674,140.59258212799125,141.32191467285156,64522000,-1.5778620939441892,-1.203937263539802,-0.695646216534212,-1.2195436472910428,-1.5553267821607368,0.7171338878930672,-1.5466304005447147,-1.5730723480644795,0.24770539525611915,2022-10-20,AAPL
140.80940185727815,145.71758686598037,140.59257368233722,145.1459503173828,86548600,-1.5829681528978043,-1.2177779267510844,-0.1852343294867595,-1.0369443413364539,-1.4634483389180655,1.0087524311890455,-1.5633942012279178,-1.5651468945223044,0.2737644796037353,2022-10-21,AAPL
145.06709579621315,148.06324356402658,143.89425664068742,147.29449462890625,75981900,-1.585101062333273,-1.2325513040540665,0.07098353820931647,-0.8298761661472768,-1.3457351008228011,1.3011819020360011,-1.571984626620193,-1.5600786706060954,0.25165251393788096,2022-10-24,AAPL
147.92527363612152,150.2906678641537,147.20580651383366,150.142822265625,74732300,-1.5841638820558646,-1.246150642073302,0.3845346938568141,-0.5882882316466636,-1.1999838201581867,1.6185503966929795,-1.5673132183047342,-1.563298345008953,0.1786051870126255,2022-10-25,AAPL
148.78271775892205,149.79786091510002,145.90481954516318,147.19593811035156,88194300,-1.5849556645495904,-1.2615958380934038,-0.020463036379636205,-0.4690618960042092,-1.0579271506921397,1.5767303162957151,-1.570319940505796,-1.5616186241893397,0.16663342262983838,2022-10-26,AAPL
145.9344043483702,146.90026566861184,142.05122827640076,142.71156311035156,109180200,-1.5812068683894862,-1.281000168883999,-0.5527265307515693,-0.4859694178142264,-0.9478916876327571,1.2142755532983562,-1.5668340490110484,-1.5576723303849278,0.1994374632661691,2022-10-27,AAPL
146.06254411260886,155.22841546191245,145.68803498734457,153.49380493164062,164762400,-1.552864682553645,-1.2930080107846367,0.49962635476870965,-0.22300424164531482,-0.8037184384670923,1.6006883266107232,-1.5045773619629212,-1.5675776544562607,0.587003205100058,2022-10-28,AAPL
150.9510060343384,152.01543120421692,149.7288849047636,151.12840270996094,97943200,-1.5352680233558782,-1.304865855011716,0.23792050042952315,-0.07647713087640258,-0.6570952904239801,1.6284192467302112,-1.4666241935473243,-1.5729528960250059,0.5229441394740266,2022-10-31,AAPL
